net.minecraft.src.BlockFlowing	field_660_c	flowCost
net.minecraft.src.BlockFlowing	field_658_b	isOptimalFlowDirection
net.minecraft.src.BlockFlowing	func_4034_a	calculateFlowCost
net.minecraft.src.BlockPistonBase	getOrientation	func_31044_d
net.minecraft.src.BlockPistonBase	isPowered	func_31041_f	5
net.minecraft.src.BlockPistonBase	canExtend	func_31045_h
net.minecraft.src.BlockPistonBase	determineOrientation	func_31039_c
net.minecraft.src.Block	minecartTrack	rail
net.minecraft.src.ChunkProvider	func_28058_d	loadChunkFromFile
net.minecraft.src.Chunk	func_4053_c	func_4143_d
net.minecraft.src.ChunkProviderHell	field_4243_f	field_4172_f
net.minecraft.src.ChunkProviderHell	field_4242_g	field_4171_g
net.minecraft.src.ChunkProviderHell	field_4246_c	field_4175_c
net.minecraft.src.ChunkProviderHell	field_4245_d	field_4174_d
net.minecraft.src.ChunkProviderHell	field_4244_e	field_4173_e
net.minecraft.src.Container	crafters	field_20121_g
net.minecraft.src.ICrafting	updateCraftingInventorySlot	func_20159_a
net.minecraft.src.EntityPlayer	func_22059_e	func_22052_e
net.minecraft.src.TileEntity	tileEntityInvalid	field_31007_h
net.minecraft.src.TileEntityPiston	field_31013_m	field_31018_m
net.minecraft.src.World	field_4268_y	lightingUpdatesScheduled
net.minecraft.src.World	field_821_y	lightingToUpdate
net.minecraft.src.World	activeChunkSet	positionsToUpdate
net.minecraft.src.World	ambientTickCountdown	soundCounter
net.minecraft.src.World	distHashCounter	field_9437_g
net.minecraft.src.World	addLightningBolt	addWeatherEffect
net.minecraft.src.WorldGenBigTree	field_747_n	field_869_n
net.minecraft.src.WorldGenBigTree	field_751_j	field_873_j
net.minecraft.src.WorldGenBigTree	field_750_k	field_872_k
