net.minecraft.src.WorldGenBigTree	field_760_a	field_882_a
net.minecraft.src.WorldGenBigTree	field_754_g	field_876_g
net.minecraft.src.WorldGenBigTree	field_753_h	field_875_h
net.minecraft.src.WorldGenBigTree	field_752_i	field_874_i
net.minecraft.src.WorldGenBigTree	field_749_l	field_871_l
net.minecraft.src.WorldGenBigTree	field_746_o	field_868_o
net.minecraft.src.WorldGenBigTree	func_431_a	func_528_a
net.minecraft.src.WorldGenBigTree	func_427_a	func_524_a
net.minecraft.src.WorldGenBigTree	func_426_a	func_523_a
net.minecraft.src.WorldGenBigTree	func_429_b	func_526_b
net.minecraft.src.WorldGenBigTree	func_423_a	func_520_a
net.minecraft.src.WorldGenBigTree	func_425_a	func_522_a
net.minecraft.src.WorldGenBigTree	func_430_c	func_527_c
net.minecraft.src.ChunkBlockMap	field_26002_a	field_26003_a
net.minecraft.src.ChunkBlockMap	func_26001_a	func_26002_a
net.minecraft.src.Achievement	func_27060_b	setSpecial
net.minecraft.src.AchievementList	field_27108_k	acquireIron
net.minecraft.src.AchievementList	field_25128_b	openInventory
net.minecraft.src.BiomeGenBase	func_4080_a	func_4124_a
net.minecraft.src.EntityPlayer	field_22066_z	field_22063_x
net.minecraft.src.EntityPlayer	field_22067_A	field_22061_z
net.minecraft.src.SlotArmor	field_20101_b	inventory
net.minecraft.src.ISaveHandler	func_22094_a	saveWorldInfo
